id,title,genres,averageRating,numVotes,releaseYear
tt4236770,Yellowstone,"Drama, Western",8.7,242728,2018
tt1606375,Downton Abbey,"Drama, Romance",8.7,230565,2010
tt11280740,Severance,"Drama, Mystery, Sci-Fi",8.7,230459,2022
tt6741278,Invincible,"Action, Adventure, Animation",8.7,222760,2021
tt0098936,Twin Peaks,"Crime, Drama, Mystery",8.7,222358,1990
tt5687612,Fleabag,"Comedy, Drama",8.7,216092,2016
tt4508902,One Punch Man,"Action, Animation, Comedy",8.7,194353,2015
tt0384766,Rome,"Action, Drama, Romance",8.7,190842,2005
tt0988824,Naruto: Shippuden,"Action, Adventure, Animation",8.7,184750,2007
tt0407362,Battlestar Galactica,"Action, Adventure, Drama",8.7,179376,2004
tt5555260,This Is Us,"Comedy, Drama, Romance",8.7,163921,2016
tt0248654,Six Feet Under,"Comedy, Drama",8.7,154624,2001
tt5788792,The Marvelous Mrs. Maisel,"Comedy, Drama",8.7,147436,2017
tt0092455,Star Trek: The Next Generation,"Action, Adventure, Drama",8.7,140553,1987
tt1628033,Top Gear,"Adventure, Sport, Talk-Show",8.7,130167,2002
tt13991232,1883,"Drama, Western",8.7,125398,2021
tt15435876,The Penguin,"Crime, Drama",8.7,124189,2024
tt0118421,Oz,"Crime, Drama, Thriller",8.7,109850,1997
tt9544034,The Family Man,"Action, Comedy, Drama",8.7,101845,2019
tt0286486,The Shield,"Crime, Drama, Thriller",8.7,90841,2002
tt5712554,The Grand Tour,"Comedy, Sport, Talk-Show",8.7,88371,2016
tt0994314,Code Geass,"Action, Animation, Drama",8.7,85729,2006
tt13309742,Blue Eye Samurai,"Action, Adventure, Animation",8.7,81841,2023
tt3718778,Over the Garden Wall,"Adventure, Animation, Comedy",8.7,76551,2014
tt0758745,Friday Night Lights,"Drama, Sport",8.7,74502,2006
tt2303687,Line of Duty,"Crime, Drama, Mystery",8.7,73414,2012
tt0387764,Peep Show,Comedy,8.7,68730,2003
tt0318871,Berserk,"Action, Adventure, Animation",8.7,60104,1997
tt0434706,Monster,"Animation, Crime, Drama",8.7,51277,2004
tt10850932,Crash Landing on You,"Adventure, Comedy, Drama",8.7,46444,2019
tt0111958,Father Ted,Comedy,8.7,45053,1995
tt3398540,Haikyu!!,"Animation, Comedy, Drama",8.7,40353,2014
tt1534360,Ezel,"Crime, Drama, Thriller",8.7,38986,2009
tt7472896,Mr Inbetween,"Crime, Drama",8.7,35875,2018
tt0459159,The Thick of It,Comedy,8.7,27223,2005
tt0096639,Lonesome Dove,"Adventure, Drama, Western",8.7,27054,1989
tt0086661,The Adventures of Sherlock Holmes,"Crime, Drama, Mystery",8.7,25160,1984
tt10332508,Primal,"Action, Adventure, Animation",8.7,22955,2019
tt6025022,Justice League Unlimited,"Action, Adventure, Animation",8.7,21885,2004
tt28857177,Lucky Guy,"Comedy, Drama, Fantasy",8.7,21595,2023
